  t(s)   largh   alt
  0.000      0     0
  0.017      0     0
  0.033      0     0
  0.050      0     0
  0.067      0     0
  0.083      0     0
  0.100      0     0
  0.117      0     0
  0.133      0     0
  0.150      0     0
  0.167      0     0
  0.183      0     0
  0.200      0     0
  0.217      0     0
  0.233      0     0
  0.250      0     0
  0.267      0     0
  0.283      0     0
  0.300      0     0
  0.317      0     0
  0.333      0     0
  0.350      0     0
  0.367      0     0
  0.383      0     0
  0.400      0     0
  0.417      0     0
  0.433      0     0
  0.450      0     0
  0.467      0     0
  0.483      0     0
  0.500      0     0
  0.517      0     0
  0.533      0     0
  0.550      0     0
  0.567      0     0
  0.583      0     0
  0.600      0     0
  0.617      0     0
  0.633      0     0
  0.650      0     0
  0.667      0     0
  0.683      0     0
  0.700      0     0
  0.717      0     0
  0.733      0     0
  0.750      0     0
  0.767      0     0
  0.783      0     0
  0.800      0     0
  0.817      0     0
  0.833      0     0
  0.850      0     0
  0.867      0     0
  0.883      0     0
  0.900      0     0
  0.917      0     0
  0.933      0     0
  0.950      0     0
  0.967    277    73
  0.983    282    76
  1.000    286    76
  1.017    290    78
  1.033    292    78
  1.050    294    80
  1.067    298    80
  1.083    300    80
  1.100    300    80
  1.117    302    80
  1.133    302    82
  1.150    302    82
  1.167    302    82
  1.183    302    82
  1.200    302    82
  1.217    302    82
  1.233    302    82
  1.250    302    82
  1.267    302    80
  1.283    302    80
  1.300    302    80
  1.317    302    80
  1.333    300    80
  1.350    300    80
  1.367    300    80
  1.383    300    80
  1.400    300    80
  1.417    300    80
  1.433    300    80
  1.450    300    80
  1.467    300    80
  1.483    300    80
  1.500    300    80
  1.517    300    80
  1.533    300    80
  1.550    300    80
  1.567    300    80
  1.583    300    80
  1.600    300    80
  1.617    300    80
  1.633    300    80
  1.650    300    80
  1.667    300    80
  1.683    300    80
  1.700    300    80
  1.717    300    80
  1.733    300    80
  1.750    300    80
  1.767    300    80
  1.783    300    80
  1.800    300    80
  1.817    300    80
  1.833    300    80
  1.850    300    80
  1.867    300    80
  1.883    300    80
  1.900    300    80
  1.917    300    80
  1.933    300    80
  1.950    300    80
  1.967    300    80
  1.983    300    80
  2.000    300    80
  2.017    300    80
  2.033    300    80
  2.050    300    80
  2.067    300    80
  2.083    300    80
  2.100    300    80
  2.117    300    80
  2.133    300    80
  2.150    300    80
  2.167    300    80
  2.183    300    80
  2.200    300    80
  2.217    300    80
  2.233    300    80
  2.250    300    80
  2.267    300    80
  2.283    300    80
  2.300    300    80
  2.317    300    80
  2.333    300    80
  2.350    300    80
  2.367    300    80
  2.383    300    80
  2.400    300    80
  2.417    300    80
  2.433    300    80
  2.450    300    80
  2.467    300    80
  2.483    300    80
  2.500    300    80
  2.517    300    80
  2.533    300    80
  2.550    300    80
  2.567    300    80
  2.583    300    80
  2.600    300    80
  2.617    300    80
  2.633    300    80
  2.650    300    80
  2.667    300    80
  2.683    300    80
  2.700    300    80
  2.717    300    80
  2.733    300    80
  2.750    300    80
  2.767    300    80
  2.783    300    80
  2.800    300    80
  2.817    300    80
  2.833    300    80
  2.850    300    80
  2.867    300    80
  2.883    300    80
  2.900    300    80
  2.917    300    80
  2.933    300    80
  2.950    300    80
  2.967    300    80
  2.983    300    80
  3.000    300    80
  3.017    300    80
  3.033    300    80
  3.050    300    80
  3.067    300    80
  3.083    300    80
  3.100    300    80
  3.117    300    80
  3.133    300    80
  3.150    300    80
  3.167    300    80
  3.183    300    80
  3.200    300    80
  3.217    300    80
  3.233    300    80
  3.250    300    80
  3.267    300    80
  3.283    300    80
  3.300    300    80
  3.317    300    80
  3.333    300    80
  3.350    300    80
  3.367    300    80
  3.383    300    80
  3.400    300    80
  3.417    300    80
  3.433    300    80
  3.450    300    80
  3.467    300    80
  3.483    300    80
  3.500    298    80
  3.517    298    80
  3.533    296    80
  3.550    296    80
  3.567    296    80
  3.583    292    78
  3.600    290    78
  3.617    288    76
  3.633    284    76
  3.650    282    76
  3.667    278    74
  3.683      0     0
  3.700      0     0
  3.717      0     0
  3.733      0     0
  3.750      0     0
  3.767      0     0
  3.783      0     0
  3.800      0     0
  3.817      0     0
  3.833      0     0
  3.850      0     0
  3.867      0     0
  3.883      0     0
  3.900      0     0
  3.917      0     0
  3.933      0     0
  3.950      0     0
  3.967      0     0
  3.983      0     0
  4.000      0     0
  4.017      0     0
  4.033      0     0
  4.050      0     0
  4.067      0     0
  4.083      0     0
