  t(s)   largh   alt
  0.000      0     0
  0.017      0     0
  0.033      0     0
  0.050      0     0
  0.067      0     0
  0.083      0     0
  0.100      0     0
  0.117      0     0
  0.133      0     0
  0.150      0     0
  0.167      0     0
  0.183      0     0
  0.200      0     0
  0.217      0     0
  0.233      0     0
  0.250      0     0
  0.267      0     0
  0.283      0     0
  0.300      0     0
  0.317      0     0
  0.333      0     0
  0.350      0     0
  0.367      0     0
  0.383      0     0
  0.400      0     0
  0.417      0     0
  0.433      0     0
  0.450      0     0
  0.467      0     0
  0.483      0     0
  0.500      0     0
  0.517      0     0
  0.533      0     0
  0.550      0     0
  0.567      0     0
  0.583      0     0
  0.600      0     0
  0.617      0     0
  0.633      0     0
  0.650      0     0
  0.667      0     0
  0.683      0     0
  0.700      0     0
  0.717      0     0
  0.733      0     0
  0.750      0     0
  0.767      0     0
  0.783      0     0
  0.800      0     0
  0.817      0     0
  0.833      0     0
  0.850      0     0
  0.867      0     0
  0.883      0     0
  0.900    332    36
  0.917    334    44
  0.933    334    63
  0.950    336    82
  0.967    336   116
  0.983    336   144
  1.000    336   155
  1.017    338   191
  1.033    338   224
  1.050    338   240
  1.067    338   252
  1.083    344   261
  1.100    376   268
  1.117    424   271
  1.133    480   273
  1.150    540   274
  1.167    598   273
  1.183    652   271
  1.200    700   269
  1.217    740   267
  1.233    772   265
  1.250    796   263
  1.267    814   261
  1.283    826   259
  1.300    826   259
  1.317    836   257
  1.333    838   256
  1.350    836   256
  1.367    834   255
  1.383    830   255
  1.400    826   255
  1.417    820   255
  1.433    816   255
  1.450    814   255
  1.467    808   255
  1.483    808   255
  1.500    804   256
  1.517    802   256
  1.533    800   256
  1.550    798   256
  1.567    798   256
  1.583    798   256
  1.600    798   256
  1.617    798   256
  1.633    798   256
  1.650    798   256
  1.667    800   256
  1.683    800   256
  1.700    800   256
  1.717    800   256
  1.733    800   256
  1.750    800   256
  1.767    800   256
  1.783    800   256
  1.800    800   256
  1.817    800   256
  1.833    800   256
  1.850    800   256
  1.867    800   256
  1.883    800   256
  1.900    800   256
  1.917    800   256
  1.933    800   256
  1.950    800   256
  1.967    800   256
  1.983    800   256
  2.000    800   256
  2.017    800   256
  2.033    800   256
  2.050    800   256
  2.067    800   256
  2.083    800   256
  2.100    800   256
  2.117    800   256
  2.133    800   256
  2.150    800   256
  2.167    800   256
  2.183    800   256
  2.200    800   256
  2.217    800   256
  2.233    800   256
  2.250    800   256
  2.267    800   256
  2.283    800   256
  2.300    800   256
  2.317    800   256
  2.333    800   256
  2.350    800   256
  2.367    800   256
  2.383    800   256
  2.400    800   256
  2.417    800   256
  2.433    800   256
  2.450    800   256
  2.467    800   256
  2.483    800   256
  2.500    800   256
  2.517    800   256
  2.533    800   256
  2.550    800   256
  2.567    800   256
  2.583    800   256
  2.600    800   256
  2.617    800   256
  2.633    800   256
  2.650    800   256
  2.667    800   256
  2.683    800   256
  2.700    800   256
  2.717    800   256
  2.733    800   256
  2.750    800   256
  2.767    800   256
  2.783    800   256
  2.800    800   256
  2.817    800   256
  2.833    800   256
  2.850    800   256
  2.867    800   256
  2.883    800   256
  2.900    800   256
  2.917    800   256
  2.933    800   256
  2.950    800   256
  2.967    800   256
  2.983    800   256
  3.000    800   256
  3.017    800   256
  3.033    800   256
  3.050    800   256
  3.067    800   256
  3.083    800   256
  3.100    800   256
  3.117    800   256
  3.133    800   256
  3.150    800   256
  3.167    800   256
  3.183    800   256
  3.200    800   256
  3.217    800   256
  3.233    800   256
  3.250    800   256
  3.267    800   256
  3.283    800   256
  3.300    800   256
  3.317    796   255
  3.333    786   249
  3.350    786   249
  3.367    760   237
  3.383    736   226
  3.400    708   213
  3.417    678   198
  3.433    644   182
  3.450    606   164
  3.467    568   146
  3.483    526   126
  3.500    480   105
  3.517    434    82
  3.533    358    46
  3.550    336    36
  3.567    336    36
  3.583    336    36
  3.600    336    36
  3.617    340    39
  3.633    338    40
  3.650    335    37
  3.667    322    28
  3.683      0     0
  3.700      0     0
  3.717      0     0
  3.733      0     0
  3.750      0     0
  3.767      0     0
  3.783      0     0
  3.800      0     0
  3.817      0     0
  3.833      0     0
  3.850      0     0
  3.867      0     0
  3.883      0     0
  3.900      0     0
  3.917      0     0
  3.933      0     0
  3.950      0     0
  3.967      0     0
  3.983      0     0
  4.000      0     0
  4.017      0     0
  4.033      0     0
  4.050      0     0
  4.067      0     0
  4.083      0     0
